,# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,value
155,38750,33.0,4.24,21.25,1.79,21.0,1.63,3
67,16750,45.0,0.0,18.25,3.7,38.33,0.94,1
334,83500,23.5,0.5,18.25,1.79,19.0,2.35,0
90,22500,27.0,0.0,0.0,0.0,17.33,0.94,0
269,67250,33.5,4.5,22.67,0.94,12.0,2.45,6
269,67250,39.5,0.5,11.25,0.43,11.0,0.71,2
76,19000,36.0,9.82,15.0,2.12,15.75,3.9,3
389,97250,36.0,6.75,11.67,1.25,18.25,3.63,3
73,18250,37.25,1.3,15.25,4.71,18.5,2.18,3
409,102250,28.5,1.12,6.75,2.49,9.5,1.5,2
76,19000,23.75,0.43,13.0,0.0,30.75,0.43,0
419,104750,42.5,0.5,12.0,0.0,23.75,0.43,1
469,117250,39.33,0.47,2.33,0.47,17.5,0.5,2
27,6750,45.0,0.0,22.0,0.71,24.0,0.0,1
135,33750,45.0,0.0,18.0,0.0,13.25,1.3,4
169,42250,29.75,8.81,16.25,3.34,16.5,3.2,6
308,77000,39.67,0.47,7.25,2.05,12.0,0.0,2
245,61250,37.25,1.64,11.67,2.36,14.5,3.91,6
373,93250,48.0,0.0,11.5,1.12,16.0,2.12,4
182,45500,40.5,0.5,12.4,0.8,5.25,2.38,2
395,98750,42.75,0.83,21.0,0.0,14.75,0.43,5
310,77500,40.25,0.83,12.0,0.0,1.5,0.87,2
109,27250,34.5,2.6,15.0,2.45,12.33,2.05,3
297,74250,37.25,1.64,16.5,3.28,11.75,2.28,3
165,41250,38.75,3.9,15.67,1.7,23.0,2.55,6
153,38250,42.5,0.87,2.0,0.0,20.25,1.48,2
265,66250,39.25,0.43,12.25,0.43,17.25,0.83,4
85,21250,27.0,0.0,7.75,1.09,9.33,0.47,2
184,46000,31.0,3.27,23.0,1.0,20.75,2.17,6
370,92500,35.25,3.9,23.5,0.87,16.25,5.07,6
261,65250,34.67,1.89,17.33,2.62,17.75,1.09,3
470,117500,36.0,0.0,7.25,1.3,16.0,1.0,5
388,97000,34.33,1.25,14.8,4.79,17.4,2.94,3
66,16500,37.25,6.14,17.0,4.0,13.25,4.21,3
371,92750,25.67,0.47,25.75,1.3,7.0,1.41,0
39,9750,35.0,10.82,15.5,5.36,16.0,2.0,3
181,45250,38.4,6.53,16.25,2.05,15.25,5.72,3
0,0,28.0,0.0,0.0,0.0,17.25,0.83,0
286,71500,18.67,0.94,23.67,0.47,21.0,2.55,0
396,99000,38.5,0.5,21.25,0.43,33.0,0.0,1
148,37000,28.25,0.83,2.0,0.0,9.25,1.48,2
402,100500,41.0,1.0,10.67,3.4,22.5,1.5,6
437,109250,28.0,1.41,9.25,3.83,19.33,2.36,3
166,41500,27.75,6.14,14.75,4.44,11.0,5.34,3
255,63750,25.0,1.22,6.25,1.09,4.0,0.0,2
307,76750,37.25,1.3,12.0,0.0,21.0,0.0,5
316,79000,41.25,1.92,17.0,3.0,17.67,3.09,6
144,36000,45.25,0.43,14.75,0.43,21.0,0.71,5
220,55000,39.67,0.47,3.5,0.5,16.0,0.0,2
151,37750,31.0,3.24,14.25,5.4,14.25,2.49,1
367,91750,31.25,6.5,20.5,5.41,15.5,0.5,6
461,115250,27.0,0.0,24.0,0.0,18.25,0.43,0
316,79000,42.0,0.0,18.0,0.0,21.5,0.5,5
364,91000,27.0,0.0,16.5,0.87,11.75,0.43,0
256,64000,28.75,2.77,15.25,6.76,12.0,2.24,3
208,52000,31.75,0.83,21.25,0.43,18.0,0.0,5
146,36500,42.0,0.0,12.0,0.0,16.75,1.09,4
408,102000,41.5,0.5,18.33,0.47,29.67,0.47,1
30,7500,39.5,0.5,6.5,0.5,7.75,0.83,2
244,61000,45.0,0.0,18.5,0.5,15.0,0.71,4
380,95000,30.0,0.0,2.0,0.0,2.67,1.25,2
298,74500,27.75,0.43,15.0,0.0,13.67,1.25,0
264,66000,34.75,3.7,19.33,3.09,18.0,5.1,3
60,15000,42.0,0.0,14.25,0.83,13.75,0.83,5
43,10750,41.5,0.5,19.0,0.71,35.25,1.3,1
312,78000,23.5,0.5,22.0,0.71,19.75,0.43,0
477,119250,35.25,4.44,12.6,1.36,11.8,7.68,6
310,77500,36.5,0.87,23.0,0.71,29.5,0.5,1
170,42500,36.33,0.47,13.0,0.82,21.0,0.0,5
417,104250,30.0,0.0,17.5,0.5,18.5,0.87,5
335,83750,41.0,7.79,16.5,2.69,9.67,4.03,3
448,112000,35.33,2.49,16.5,0.5,16.25,7.66,6
337,84250,41.5,0.87,18.75,0.43,4.25,1.3,4
344,86000,44.75,0.43,24.0,0.0,30.0,0.0,1
357,89250,41.75,0.43,18.25,0.43,29.5,0.87,1
313,78250,41.0,0.82,29.33,0.94,36.0,0.0,1
381,95250,45.0,0.0,21.0,0.0,13.5,1.5,4
295,73750,35.25,1.3,21.5,2.06,19.25,2.38,6
236,59000,42.0,0.0,21.75,0.43,33.75,1.3,1
123,30750,43.25,2.49,15.67,2.05,19.67,1.25,6
275,68750,43.5,0.5,15.67,0.47,18.33,0.47,5
307,76750,36.0,0.0,26.5,1.12,17.25,3.34,6
389,97250,44.5,0.87,27.25,0.43,27.25,0.83,1
333,83250,27.5,8.53,20.33,2.62,20.0,1.41,3
403,100750,42.0,0.0,20.25,1.3,15.75,0.83,5
41,10250,39.67,0.47,23.75,0.43,28.33,0.47,0
125,31250,33.25,4.15,12.5,3.57,13.25,4.66,3
289,72250,37.67,1.25,13.67,1.89,15.33,3.3,6
301,75250,39.5,0.5,0.0,0.0,12.0,0.0,2
464,116000,48.0,0.0,12.0,1.22,13.25,0.83,4
320,80000,41.5,0.5,15.0,0.0,10.75,0.43,4
327,81750,27.33,0.47,19.0,1.41,12.5,0.87,0
437,109250,41.25,0.83,16.0,0.71,26.25,0.83,1
60,15000,45.0,0.0,20.75,0.43,24.0,0.0,1
325,81250,32.25,2.28,18.67,1.7,15.5,3.5,6
279,69750,30.75,12.28,15.5,3.2,18.25,3.9,6
386,96500,45.0,0.0,17.5,2.18,17.25,1.3,5
244,61000,42.5,0.5,17.5,2.96,15.0,4.08,6
23,5750,30.0,0.0,21.25,0.43,19.5,1.12,5
281,70250,34.75,3.34,12.33,4.11,18.75,1.3,6
60,15000,27.0,0.0,0.0,0.0,17.5,0.5,0
153,38250,37.67,1.7,15.0,8.52,16.5,4.5,3
375,93750,45.0,0.0,21.0,0.0,21.0,0.0,5
279,69750,45.67,0.47,17.5,1.5,14.67,1.25,4
88,22000,43.5,0.5,21.5,0.5,36.0,0.0,1
188,47000,26.75,4.09,15.25,4.44,21.75,1.79,3
240,60000,39.0,0.0,4.0,0.0,17.33,0.47,2
359,89750,37.75,1.09,13.5,2.06,12.25,5.72,6
407,101750,30.0,5.24,18.75,2.49,17.5,2.29,3
444,111000,47.75,0.43,11.5,1.12,10.25,3.7,4
207,51750,28.0,6.16,19.25,1.92,14.67,4.19,6
428,107000,31.75,4.92,15.67,3.86,23.33,1.7,3
413,103250,36.33,0.47,16.0,3.67,19.67,0.94,6
402,100500,46.0,0.71,20.67,0.47,15.67,0.47,5
333,83250,39.67,0.47,9.5,1.66,12.67,0.94,2
304,76000,27.0,0.82,1.0,0.0,5.5,0.5,2
194,48500,45.0,0.71,15.25,1.79,22.0,1.22,0
451,112750,40.5,0.5,17.75,0.43,26.5,0.5,1
293,73250,39.0,0.0,19.67,1.25,36.0,0.0,1
279,69750,39.0,0.0,2.75,0.43,18.0,0.0,2
72,18000,35.75,3.96,13.5,1.5,17.5,2.06,6
27,6750,24.75,0.43,21.75,0.83,26.25,0.83,0
197,49250,35.25,2.49,17.25,7.69,17.25,3.11,6
141,35250,39.5,0.5,10.33,0.47,12.33,0.47,2
158,39500,36.0,5.24,14.0,4.3,19.5,2.29,6
432,108000,40.33,3.4,17.67,0.47,13.0,6.48,3
195,48750,43.5,0.5,12.33,0.47,31.5,0.5,1
241,60250,48.0,0.0,2.0,0.0,8.75,0.43,2
177,44250,36.0,0.0,22.25,1.3,19.5,4.33,6
265,66250,22.0,0.71,18.0,0.0,21.0,0.0,0
22,5500,39.5,0.5,6.25,0.43,8.5,0.5,2
249,62250,47.33,0.47,9.0,0.0,9.5,0.87,4
250,62500,33.5,2.87,17.25,3.7,17.0,1.0,3
242,60500,44.5,0.5,18.0,0.0,15.0,0.82,4
100,25000,30.0,5.35,16.5,2.69,17.0,1.41,6
397,99250,28.0,0.0,15.0,0.0,7.5,2.06,0
266,66500,45.0,0.0,15.33,0.47,23.67,0.47,5
364,91000,38.0,2.12,16.5,1.5,14.5,7.57,6
220,55000,27.0,0.0,11.25,0.83,11.33,0.94,2
103,25750,36.33,0.47,18.5,0.5,24.0,0.0,1
362,90500,29.67,0.47,1.0,0.0,6.33,0.47,2
219,54750,43.5,0.5,20.75,0.43,8.0,0.0,5
100,25000,39.5,1.5,15.33,4.03,15.33,4.19,3
44,11000,45.5,0.5,20.25,0.43,13.75,0.83,4
61,15250,31.5,2.06,13.5,2.29,19.5,7.23,3
471,117750,38.75,3.42,13.5,2.69,16.5,4.5,3
155,38750,37.5,4.5,16.75,2.49,13.75,3.03,3
280,70000,20.5,0.5,15.33,0.47,17.0,1.41,0
391,97750,37.0,2.45,17.0,2.45,16.5,1.66,3
388,97000,45.0,0.0,13.25,0.43,13.0,0.71,5
389,97250,44.33,0.47,15.0,0.0,14.25,0.43,4
147,36750,39.0,0.0,1.75,0.43,24.0,0.0,0
388,97000,46.25,0.43,20.5,0.5,18.0,1.87,5
148,37000,36.75,4.44,18.0,4.95,20.0,1.58,6
297,74250,39.5,0.5,8.0,1.0,14.75,1.09,2
122,30500,27.0,0.0,8.0,0.71,8.5,0.5,2
10,2500,48.0,0.0,6.0,0.0,1.67,0.94,2
228,57000,39.5,0.5,1.75,0.43,12.0,0.0,2
371,92750,48.0,0.0,6.0,0.0,9.75,0.83,2
292,73000,43.75,0.83,17.25,0.43,38.5,0.5,1
418,104500,37.25,2.17,14.0,3.46,18.75,2.77,3
307,76750,39.33,0.47,7.67,0.47,12.75,0.83,2
41,10250,35.25,1.3,21.0,2.45,13.5,3.84,6
394,98500,43.5,0.5,20.5,0.5,19.75,0.43,5
332,83000,45.0,0.0,10.0,0.71,20.25,0.43,5
181,45250,44.5,0.5,24.0,0.0,33.0,0.0,1
42,10500,48.0,0.0,4.33,0.94,9.0,0.0,2
171,42750,36.5,0.5,15.0,0.0,21.0,0.0,5
41,10250,30.0,0.0,20.0,0.0,15.33,0.47,0
18,4500,40.33,0.94,16.0,1.63,22.75,0.83,0
344,86000,38.5,1.5,9.0,0.82,13.67,1.25,6
447,111750,33.0,0.0,13.33,0.47,18.0,0.0,5
242,60500,44.67,0.47,1.0,0.0,11.67,0.47,4
129,32250,27.0,0.0,6.75,0.43,8.75,0.43,2
373,93250,44.67,0.47,16.25,2.05,12.0,1.63,3
47,11750,33.0,2.12,18.25,1.79,9.0,6.38,6
103,25750,36.75,3.56,20.25,3.7,15.75,3.77,6
118,29500,35.0,5.89,15.0,0.0,17.0,2.74,1
354,88500,27.5,0.5,15.0,0.0,13.25,1.3,0
100,25000,45.0,0.0,18.75,0.43,16.25,0.83,4
17,4250,45.0,0.0,18.75,1.09,25.25,0.83,1
429,107250,44.67,0.47,10.25,3.03,30.67,0.47,1
104,26000,30.0,0.0,21.0,0.0,12.5,0.87,0
293,73250,35.5,4.56,18.0,3.56,19.0,1.41,6
384,96000,27.67,0.47,15.5,0.5,18.0,0.0,0
261,65250,40.5,0.5,12.0,0.0,2.0,0.0,2
435,108750,41.0,0.82,11.25,2.05,19.0,0.82,5
105,26250,35.25,1.3,20.25,2.59,15.25,6.26,6
170,42500,30.0,0.0,13.75,1.3,25.25,1.3,0
411,102750,37.25,2.86,10.25,5.02,26.25,0.83,1
477,119250,37.0,1.73,17.75,0.43,22.5,0.87,6
44,11000,40.0,2.83,19.25,4.82,21.67,4.11,6
421,105250,41.25,1.48,18.75,3.77,26.67,0.47,1
443,110750,43.75,0.83,12.25,0.43,13.25,1.3,5
357,89250,44.25,0.43,19.25,0.43,14.75,0.43,4
182,45500,34.25,1.3,18.33,2.36,18.0,3.54,6
21,5250,30.33,4.92,14.0,3.58,17.0,1.41,1
452,113000,35.0,1.73,20.33,1.7,14.67,5.79,3
45,11250,45.0,0.0,12.5,0.87,18.25,0.43,4
112,28000,45.0,0.0,20.33,0.47,9.33,0.47,4
44,11000,41.75,2.17,13.5,4.72,14.5,4.15,6
456,114000,28.25,2.49,16.0,2.83,10.67,1.25,3
299,74750,37.0,1.22,10.5,3.2,14.75,5.63,6
93,23250,45.75,0.43,19.25,1.09,16.25,1.3,5
426,106500,45.0,0.0,14.25,1.3,21.0,0.0,5
124,31000,27.0,0.0,7.25,0.43,21.5,0.5,0
465,116250,44.5,0.5,18.25,0.43,16.75,0.83,5
210,52500,42.5,0.5,21.75,0.43,33.75,1.3,1
136,34000,38.5,0.5,7.0,3.0,20.5,0.87,0
5,1250,48.0,0.0,9.75,0.43,9.75,0.83,2
476,119000,42.5,0.5,21.0,0.0,30.0,0.0,1
331,82750,24.0,0.0,21.75,0.43,19.0,1.0,0
436,109000,37.0,3.56,15.25,4.71,19.0,2.94,6
469,117250,41.0,1.0,16.0,1.22,27.0,0.0,1
222,55500,34.0,1.41,19.0,2.55,16.67,3.68,6
421,105250,36.5,0.87,20.25,1.48,17.25,4.49,5
15,3750,42.0,0.0,21.0,0.0,11.25,1.48,4
175,43750,29.0,0.0,18.5,0.5,27.0,0.0,0
23,5750,40.0,1.0,21.0,0.0,15.25,0.43,4
364,91000,35.0,5.66,17.25,2.28,21.0,4.24,3
39,9750,47.25,0.43,11.67,0.47,14.25,1.09,4
402,100500,45.0,0.0,19.5,0.87,15.0,0.71,4
19,4750,44.75,0.43,22.0,0.71,36.0,0.0,1
325,81250,42.33,0.47,15.0,0.0,13.0,0.82,4
216,54000,44.75,1.64,17.0,1.0,22.5,1.5,6
132,33000,45.75,0.43,15.25,0.43,18.25,0.43,4
1,250,46.5,0.5,12.0,0.0,20.25,0.43,4
9,2250,39.75,0.83,18.75,1.09,18.5,2.5,0
14,3500,23.75,0.43,18.0,0.0,21.0,0.0,0
452,113000,43.5,0.5,24.33,0.47,31.0,0.0,1
338,84500,33.75,2.28,18.75,0.43,14.75,2.77,6
364,91000,39.0,0.0,15.5,4.39,34.5,1.5,1
8,2000,39.5,0.5,6.75,1.48,13.75,1.09,2
62,15500,23.25,9.34,17.25,3.77,17.25,6.65,1
255,63750,33.0,0.0,15.0,0.0,23.5,0.5,0
140,35000,42.0,0.0,19.0,0.71,14.75,0.43,4
33,8250,39.67,2.62,11.33,2.49,12.5,2.5,3
253,63250,45.5,0.5,17.75,0.43,18.0,0.71,5
381,95250,29.75,0.43,1.0,0.0,0.0,0.0,2
450,112500,39.67,0.47,6.5,2.29,9.33,0.47,2
131,32750,45.0,0.0,21.25,0.43,19.0,1.22,5
113,28250,32.25,4.82,13.75,6.14,18.25,5.76,1
436,109000,43.67,0.47,10.0,1.41,24.75,0.83,1
479,119750,39.5,0.5,9.0,0.0,12.67,0.47,2
367,91750,37.25,6.5,17.5,0.87,13.67,3.4,3
323,80750,45.0,0.0,17.75,0.43,15.75,0.43,4
453,113250,33.0,0.0,6.25,0.43,18.5,0.5,0
107,26750,45.0,0.0,7.67,4.78,10.0,1.22,5
376,94000,39.0,0.0,16.75,1.3,32.0,0.0,1
157,39250,30.0,0.0,2.33,1.25,4.5,0.5,0
157,39250,36.0,0.0,13.75,1.79,30.0,0.0,1
393,98250,41.5,0.5,19.25,0.43,30.0,0.0,1
299,74750,39.33,0.47,0.0,0.0,12.33,0.47,2
263,65750,45.0,0.0,16.25,0.43,23.0,0.71,5
409,102250,42.75,0.43,19.25,0.43,36.0,0.0,1
282,70500,29.75,1.79,14.5,1.8,16.75,2.49,1
104,26000,36.67,0.47,21.75,0.83,13.67,5.79,6
132,33000,45.0,0.0,17.25,0.43,23.5,0.5,5
147,36750,45.0,0.0,19.25,0.43,16.0,0.71,4
297,74250,30.0,0.0,14.5,0.5,13.5,2.69,0
369,92250,35.0,2.74,14.0,6.16,12.67,2.05,1
391,97750,43.67,0.47,18.5,1.5,19.0,0.82,5
340,85000,45.0,0.0,18.0,0.0,7.5,0.5,4
61,15250,41.67,2.05,13.25,3.96,23.0,1.41,6
273,68250,42.0,0.0,15.0,0.0,22.5,0.5,1
374,93500,41.5,0.5,20.5,0.5,28.25,0.43,1
201,50250,39.33,0.47,4.33,2.49,12.75,0.83,2
447,111750,28.75,9.91,20.0,3.56,19.0,4.55,6
409,102250,33.0,0.0,12.75,1.92,18.75,0.83,0
32,8000,40.75,0.83,19.25,0.43,33.75,1.3,1
410,102500,36.25,0.83,22.0,1.58,19.25,1.79,6
30,7500,35.0,1.41,15.0,4.24,16.25,1.92,3
149,37250,29.67,0.47,17.25,0.83,18.0,0.0,0
129,32250,42.67,0.94,14.0,7.45,24.0,1.41,6
373,93250,33.0,0.0,17.25,0.83,18.0,0.0,0
205,51250,20.5,0.5,22.75,0.43,19.0,1.0,0
45,11250,41.0,2.74,9.5,4.92,14.75,3.56,3
84,21000,25.67,0.47,10.33,0.47,9.0,1.0,0
473,118250,48.0,0.0,7.75,0.83,11.25,0.43,2
162,40500,36.5,0.5,12.0,0.0,21.75,0.83,5
182,45500,39.33,0.47,7.67,0.47,16.25,0.43,2
294,73500,37.0,1.22,16.25,3.27,18.75,1.48,3
63,15750,33.8,5.11,11.5,3.84,11.5,3.25,3
378,94500,44.33,0.47,12.0,0.0,15.75,0.83,4
367,91750,45.5,0.5,20.0,0.71,11.5,0.5,4
226,56500,43.5,0.5,21.5,1.66,12.0,1.41,5
425,106250,25.5,0.5,26.75,0.43,12.0,0.0,0
411,102750,42.5,0.5,10.75,2.28,24.0,0.0,1
34,8500,42.5,0.5,16.0,0.71,17.75,0.43,4
74,18500,46.0,0.71,22.0,0.0,23.75,0.43,5
364,91000,33.67,3.3,17.0,5.72,17.5,5.55,3
270,67500,40.0,0.0,4.5,1.66,15.0,0.0,2
344,86000,23.75,0.43,22.0,1.22,17.75,2.17,0
28,7000,35.0,5.87,13.5,1.66,14.25,2.28,3
205,51250,44.33,0.47,18.0,0.0,13.0,1.22,4
94,23500,42.25,2.38,13.33,3.4,18.75,2.28,3
383,95750,33.0,0.0,12.67,0.47,20.33,0.47,0
243,60750,45.0,0.0,14.0,0.82,20.0,1.22,5
166,41500,37.33,5.44,15.33,4.03,15.75,5.12,6
362,90500,42.0,0.0,15.0,0.0,8.5,0.87,4
72,18000,25.33,0.47,0.0,0.0,18.67,0.47,0
151,37750,39.5,0.5,1.5,0.5,16.0,0.71,2
386,96500,36.0,0.0,15.0,0.0,12.25,0.43,4
439,109750,45.67,0.47,18.0,2.45,9.67,3.77,5
239,59750,37.75,5.21,19.0,3.74,14.67,5.79,6
190,47500,38.33,5.19,13.0,4.0,11.0,2.83,6
464,116000,28.33,0.47,8.33,0.94,10.0,1.87,2
364,91000,37.0,1.0,15.5,0.5,21.0,0.0,5
450,112500,25.67,0.47,11.0,0.71,3.5,0.5,0
464,116000,45.0,0.0,8.0,3.27,14.25,6.53,5
215,53750,45.0,0.0,12.5,0.5,21.0,0.0,5
444,111000,37.0,1.41,13.0,3.54,14.0,1.41,6
21,5250,34.33,4.19,20.75,1.79,13.0,3.27,3
213,53250,43.5,0.5,21.0,0.0,9.5,1.12,5
39,9750,41.0,0.82,20.33,0.47,33.75,1.3,1
101,25250,32.75,4.82,14.25,7.6,9.5,5.12,1
409,102250,44.67,0.47,19.75,0.83,22.33,1.25,0
141,35250,42.75,1.92,17.5,2.69,16.75,4.02,6
133,33250,45.0,0.0,24.0,0.0,29.33,0.47,1
146,36500,44.25,0.83,21.5,1.5,21.0,0.0,1
82,20500,40.67,3.09,16.0,2.94,16.5,1.5,6
35,8750,42.0,0.0,15.0,0.0,5.33,0.94,5
136,34000,48.0,0.0,5.5,0.5,5.5,1.12,2
210,52500,39.33,0.47,6.0,0.71,12.33,0.47,2
229,57250,33.75,1.3,15.0,4.64,13.0,4.85,3
144,36000,33.0,5.61,17.33,0.94,20.0,1.0,6
217,54250,40.5,0.5,16.0,0.0,35.25,1.3,1
40,10000,30.75,5.12,17.75,2.86,19.75,2.49,3
84,21000,30.0,0.0,23.25,0.83,21.25,0.43,0
76,19000,42.0,1.63,21.67,0.94,12.75,1.48,6
262,65500,32.33,0.94,13.33,1.25,23.75,0.43,5
2,500,37.0,3.94,20.25,1.3,16.25,1.64,3
248,62000,43.25,0.43,10.75,3.77,21.5,0.5,1
198,49500,48.0,0.0,5.25,0.43,9.0,0.0,2
419,104750,31.5,7.53,15.75,2.17,9.5,1.8,6
133,33250,43.5,0.5,19.5,0.5,12.0,0.71,5
188,47000,22.0,0.82,13.25,3.27,6.67,4.03,0
478,119500,43.67,2.36,19.0,2.83,14.75,2.49,3
191,47750,45.0,0.0,24.25,0.43,32.0,0.0,1
47,11750,28.5,6.54,14.0,4.06,17.5,2.29,3
11,2750,32.75,2.17,18.25,2.86,20.25,3.56,3
12,3000,34.75,3.49,13.5,1.5,11.33,3.4,3
307,76750,40.25,0.83,12.0,0.0,3.0,0.0,2
453,113250,33.67,1.7,18.0,3.0,19.33,4.64,6
404,101000,45.0,0.0,19.5,0.5,14.75,0.83,4
399,99750,32.75,4.09,16.0,2.74,14.0,2.74,1
3,750,35.25,3.9,14.75,3.27,21.25,1.79,6
74,18500,45.0,0.0,20.33,0.47,23.0,0.71,1
475,118750,36.0,3.67,19.75,2.05,21.5,2.18,6
379,94750,42.0,0.0,17.0,0.0,21.0,0.0,5
463,115750,42.5,0.87,17.0,1.41,18.0,2.45,6
86,21500,39.5,0.5,9.0,0.0,11.5,0.5,2
448,112000,36.0,2.12,22.25,2.05,16.0,3.67,1
428,107000,42.0,0.0,18.75,0.43,30.0,0.0,1
289,72250,39.5,0.5,1.0,0.0,13.25,0.83,2
322,80500,32.5,0.5,19.75,0.83,15.25,0.43,0
197,49250,40.33,0.94,4.75,1.79,15.33,1.25,2
288,72000,39.5,2.87,21.0,2.45,22.67,2.62,3
308,77000,37.5,4.5,14.0,6.96,21.5,0.5,6
405,101250,45.25,0.43,19.0,0.0,14.5,0.5,4
13,3250,36.75,0.83,21.0,0.0,17.5,1.8,6
301,75250,41.0,1.22,15.33,2.62,21.25,0.83,6
62,15500,40.5,5.68,17.75,0.83,16.25,2.86,3
6,1500,45.0,0.0,3.67,0.47,15.0,0.0,5
113,28250,33.5,8.41,14.67,4.92,18.33,2.36,3
15,3750,39.67,0.47,6.5,1.12,9.33,1.25,2
300,75000,34.25,1.3,16.25,3.77,18.75,2.28,6
347,86750,45.0,0.0,18.0,0.0,2.5,0.5,4
31,7750,43.33,0.47,22.33,0.47,33.0,0.0,1
251,62750,36.0,0.0,21.5,2.87,18.0,5.66,6
355,88750,40.75,0.43,18.5,0.5,12.5,1.5,4
330,82500,37.25,12.48,15.25,1.48,14.25,7.82,3
172,43000,36.0,0.0,20.33,3.3,18.25,5.31,6
457,114250,43.25,0.83,24.0,0.0,32.0,0.0,1
82,20500,37.75,5.49,19.0,2.74,14.5,3.77,3
428,107000,45.0,0.0,12.5,0.87,20.0,0.71,5
389,97250,43.67,0.47,18.0,0.0,36.33,0.47,1
47,11750,45.0,0.0,18.0,0.0,11.5,0.5,4
304,76000,39.25,0.43,24.0,0.0,37.0,1.0,1
20,5000,29.0,0.0,6.5,0.87,9.25,0.43,2
398,99500,30.0,0.0,17.75,0.43,21.25,0.43,5
202,50500,40.5,0.5,11.0,1.0,3.0,1.87,2
187,46750,45.0,0.71,14.33,0.94,15.67,0.94,4
67,16750,45.0,0.0,20.75,0.43,15.0,0.71,5
264,66000,43.5,0.5,15.0,0.0,18.33,0.47,5
142,35500,43.5,1.5,17.33,0.94,14.33,2.62,6
324,81000,37.0,1.0,5.25,0.83,20.75,0.43,5
337,84250,48.0,0.0,10.75,1.3,15.67,0.47,4
329,82250,36.0,0.0,27.0,0.0,18.0,2.94,6
129,32250,31.5,5.32,15.25,0.43,13.0,4.64,3
100,25000,39.5,0.5,3.5,0.5,11.67,0.47,2
322,80500,37.67,1.25,13.5,3.35,15.33,3.4,6
157,39250,26.5,0.5,19.0,0.0,27.0,0.0,0
36,9000,36.0,0.0,11.0,0.82,12.0,0.0,5
366,91500,42.33,0.47,11.0,0.0,18.0,0.0,4
309,77250,39.5,0.5,10.5,1.12,18.0,0.0,4
103,25750,29.25,5.93,17.5,2.6,18.0,2.83,3
72,18000,38.25,2.28,15.75,3.27,21.33,2.05,6
196,49000,45.0,0.0,25.25,0.83,33.75,1.3,1
119,29750,45.75,0.43,15.67,0.47,19.0,0.0,4
405,101250,39.75,0.83,7.0,0.0,12.0,0.0,2
454,113500,27.25,0.43,9.0,0.0,11.25,0.83,2
440,110000,44.25,2.49,12.75,3.9,16.0,3.94,3
289,72250,22.25,8.29,14.0,3.16,13.75,1.09,3
474,118500,45.0,0.0,10.5,1.5,9.33,0.94,5
136,34000,45.25,0.43,19.75,0.43,18.75,1.3,5
177,44250,26.5,0.5,8.25,1.3,12.25,0.43,2
287,71750,47.0,0.71,16.75,0.43,5.33,2.87,4
349,87250,27.25,5.07,30.75,1.3,25.0,1.22,0
269,67250,45.0,0.0,18.0,0.0,13.25,0.83,4
350,87500,36.25,0.43,30.25,0.83,23.5,2.5,0
44,11000,45.5,0.5,12.33,0.47,15.33,0.47,5
171,42750,33.5,2.87,16.5,4.03,14.5,2.69,6
64,16000,34.0,2.0,17.0,0.71,20.5,1.5,6
